Questions,Category,text,label
Propose a strategy that minority can use to influence the majority. Support your answer with ONE (1) relevant example. Elaborate your example in details. ,BT6,propose a strategy that minority can use to influence the majority. support your answer with one (1) relevant example. elaborate your example in details.,5
Explain speed control using v/f method.,BT1,explain speed control using v/f method.,0
"Explain in detail the chemisorptions of hydrocarbon (eg. alkene, alkyne etc). Focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.",BT2,"explain in detail the chemisorptions of hydrocarbon (eg. alkene, alkyne etc). focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.",1
A trapezoidal channel has side slopes 1 to 1.,BT3,a trapezoidal channel has side slopes 1 to 1.,2
What is viscosity of ink?,BT1,what is viscosity of ink?,0
Write a short note on causes and remedial measures of landslides.,BT2,write a short note on causes and remedial measures of landslides.,1
What is spread spectrum?,BT1,what is spread spectrum?,0
Can you tabulate the data from a weather observation over a week?,BT1,can you tabulate the data from a weather observation over a week?,0
Explain briefly how the aggregation processes could improve the water quality in a water treatment plant. ,BT2,explain briefly how the aggregation processes could improve the water quality in a water treatment plant.,1
Discuss the relationship between advertising and children. ,BT2,discuss the relationship between advertising and children.,1
Explain the process of cellular respiration.,BT2,explain the process of cellular respiration.,1
Analyze the survey responses to draw conclusions.,BT4,analyze the survey responses to draw conclusions.,3
Critique the performance of electrohydraulic servo systems in precision control applications.,BT5,critique the performance of electrohydraulic servo systems in precision control applications.,4
Design constant K-low pass filter to have a cut-off frequency of 796 Hz when terminated in a 600 ï resistance in both the T and Ï configurations.,BT3,design constant k-low pass filter to have a cut-off frequency of 796 hz when terminated in a 600 ï resistance in both the t and ï configurations.,2
Define Ring.,BT1,define ring.,0
Can you break down the components of a computer's software?,BT4,can you break down the components of a computer's software?,3
Solve a hypothetical scenario involving failure analysis of a dam structure and propose strategies for remediation and risk reduction.,BT3,solve a hypothetical scenario involving failure analysis of a dam structure and propose strategies for remediation and risk reduction.,2
Define register.,BT1,define register.,0
Categorize the various styles of art movements.,BT4,categorize the various styles of art movements.,3
Describe graphic design and product design. ,BT1,describe graphic design and product design.,0
"Discuss the principles of building information modeling, explaining its use for collaborative design, construction planning, and facility management.",BT2,"discuss the principles of building information modeling, explaining its use for collaborative design, construction planning, and facility management.",1
Define concrete mix design.,BT1,define concrete mix design.,0
Tabulate the differences between a stack and a queue data structure?,BT1,tabulate the differences between a stack and a queue data structure?,0
What conclusions can you draw by combining research findings from different medical studies?,BT6,what conclusions can you draw by combining research findings from different medical studies?,5
